Stratum,Search Terms,Term Type,minumum age (MYA),maximum age (MYA),supereon,eon_eonothem,era_erathem,system_period,series_epoch,stage_age,relative_sort_order
Eoarchean,Eoarchean,era_erathem,3600,4031,Precambrian,Archean,Eoarchean,,,,2
Mesoarchean,Mesoarchean,era_erathem,2800,3200,Precambrian,Archean,Mesoarchean,,,,2
Neoarchean,Neoarchean,era_erathem,2500,2800,Precambrian,Archean,Neoarchean,,,,2
Paleoarchean,Paleoarchean,era_erathem,3200,3600,Precambrian,Archean,Paleoarchean,,,,2
Archean,"Archean,Neoarchean,Mesoarchean,Paleoarchean,Eoarchean",eon_eonothem,2500,4031,Precambrian,Archean,,,,,1
Hadean,Hadean,eon_eonothem,4031,4567,Precambrian,Hadean,,,,,1
Calymmian,Calymmian,system_period,1400,1600,Precambrian,Proterozoic,Mesoproterozoic,Calymmian,,,3
Ectasian,Ectasian,system_period,1200,1400,Precambrian,Proterozoic,Mesoproterozoic,Ectasian,,,3
Stenian,Stenian,system_period,1000,1200,Precambrian,Proterozoic,Mesoproterozoic,Stenian,,,3
Mesoproterozoic,"Mesoproterozoic,Stenian,Ectasian,Calymmian",era_erathem,1000,1600,Precambrian,Proterozoic,Mesoproterozoic,,,,2
Cryogenian,Cryogenian,system_period,635,720,Precambrian,Proterozoic,Neoproterozoic,Cryogenian,,,3
Ediacaran,Ediacaran,system_period,538.8,635,Precambrian,Proterozoic,Neoproterozoic,Ediacaran,,,3
Tonian,Tonian,system_period,720,1000,Precambrian,Proterozoic,Neoproterozoic,Tonian,,,3
Neoproterozoic,"Neoproterozoic,Ediacaran,Cryogenian,Tonian",era_erathem,538.8,1000,Precambrian,Proterozoic,Neoproterozoic,,,,2
Orosirian,Orosirian,system_period,1800,2050,Precambrian,Proterozoic,Paleoproterozoic,Orosirian,,,3
Rhyacian,Rhyacian,system_period,2050,2300,Precambrian,Proterozoic,Paleoproterozoic,Rhyacian,,,3
Siderian,Siderian,system_period,2300,2500,Precambrian,Proterozoic,Paleoproterozoic,Siderian,,,3
Statherian,Statherian,system_period,1600,1800,Precambrian,Proterozoic,Paleoproterozoic,Statherian,,,3
Paleoproterozoic,"Paleoproterozoic,Statherian,Orosirian,Rhyacian,Siderian",era_erathem,1600,2500,Precambrian,Proterozoic,Paleoproterozoic,,,,2
Proterozoic,"Proterozoic,Neoproterozoic,Mesoproterozoic,Paleoproterozoic,Ediacaran,Cryogenian,Tonian,Stenian,Ectasian,Calymmian,Statherian,Orosirian,Rhyacian,Siderian",eon_eonothem,538.8,2500,Precambrian,Proterozoic,,,,,1
Precambrian,"Precambrian,Hadean,Archean,Proterozoic,Neoproterozoic,Mesoproterozoic,Paleoproterozoic,Neoarchean,Mesoarchean,Paleoarchean,Eoarchean,Ediacaran,Cryogenian,Tonian,Stenian,Ectasian,Calymmian,Statherian,Orosirian,Rhyacian,Siderian",supereon,538.8,4567,Precambrian,,,,,,0
Aquitanian,Aquitanian,stage_age,20.44,23.03,,Phanerozoic,Cenozoic,Neogene,Miocene,Aquitanian,5
Burdigalian,Burdigalian,stage_age,15.98,20.44,,Phanerozoic,Cenozoic,Neogene,Miocene,Burdigalian,5
Langhian,Langhian,stage_age,13.82,15.98,,Phanerozoic,Cenozoic,Neogene,Miocene,Langhian,5
Messinian,Messinian,stage_age,5.33,7.246,,Phanerozoic,Cenozoic,Neogene,Miocene,Messinian,5
Serravallian,Serravallian,stage_age,11.63,13.82,,Phanerozoic,Cenozoic,Neogene,Miocene,Serravallian,5
Tortonian,Tortonian,stage_age,7.246,11.63,,Phanerozoic,Cenozoic,Neogene,Miocene,Tortonian,5
Miocene,"Miocene,Messinian,Tortonian,Serravallian,Langhian,Burdigalian,Aquitanian",series_epoch,5.33,23.03,,Phanerozoic,Cenozoic,Neogene,Miocene,,4
Piacenzian,Piacenzian,stage_age,2.58,3.6,,Phanerozoic,Cenozoic,Neogene,Pliocene,Piacenzian,5
Zanclean,Zanclean,stage_age,3.6,5.33,,Phanerozoic,Cenozoic,Neogene,Pliocene,Zanclean,5
Pliocene,"Pliocene,Piacenzian,Zanclean",series_epoch,2.58,5.33,,Phanerozoic,Cenozoic,Neogene,Pliocene,,4
Neogene,"Neogene,Pliocene,Piacenzian,Zanclean,Miocene,Messinian,Tortonian,Serravallian,Langhian,Burdigalian,Aquitanian",system_period,2.58,23.03,,Phanerozoic,Cenozoic,Neogene,,,3
Bartonian,Bartonian,stage_age,37.71,41.2,,Phanerozoic,Cenozoic,Paleogene,Eocene,Bartonian,5
Lutetian,Lutetian,stage_age,41.2,47.8,,Phanerozoic,Cenozoic,Paleogene,Eocene,Lutetian,5
Priabonian,Priabonian,stage_age,33.9,37.71,,Phanerozoic,Cenozoic,Paleogene,Eocene,Priabonian,5
Ypresian,Ypresian,stage_age,47.8,56,,Phanerozoic,Cenozoic,Paleogene,Eocene,Ypresian,5
Eocene,"Eocene,Priabonian,Bartonian,Lutetian,Ypresian",series_epoch,33.9,56,,Phanerozoic,Cenozoic,Paleogene,Eocene,,4
Chattian,Chattian,stage_age,23.03,27.82,,Phanerozoic,Cenozoic,Paleogene,Oligocene,Chattian,5
Rupelian,Rupelian,stage_age,27.82,33.9,,Phanerozoic,Cenozoic,Paleogene,Oligocene,Rupelian,5
Oligocene,"Oligocene,Chattian,Rupelian",series_epoch,23.03,33.9,,Phanerozoic,Cenozoic,Paleogene,Oligocene,,4
Danian,Danian,stage_age,61.6,66,,Phanerozoic,Cenozoic,Paleogene,Paleocene,Danian,5
Selandian,Selandian,stage_age,59.2,61.6,,Phanerozoic,Cenozoic,Paleogene,Paleocene,Selandian,5
Thanetian,Thanetian,stage_age,56,59.2,,Phanerozoic,Cenozoic,Paleogene,Paleocene,Thanetian,5
Paleocene,"Paleocene,Thanetian,Selandian,Danian",series_epoch,56,66,,Phanerozoic,Cenozoic,Paleogene,Paleocene,,4
Paleogene,"Paleogene,Oligocene,Chattian,Rupelian,Eocene,Priabonian,Bartonian,Lutetian,Ypresian,Paleocene,Thanetian,Selandian,Danian",system_period,23.03,66,,Phanerozoic,Cenozoic,Paleogene,,,3
Greenlandian,Greenlandian,stage_age,0.0082,0.0117,,Phanerozoic,Cenozoic,Quaternary,Holocene,Greenlandian,5
Meghalayan,Meghalayan,stage_age,0,0.0042,,Phanerozoic,Cenozoic,Quaternary,Holocene,Meghalayan,5
Northgrippian,Northgrippian,stage_age,0.0042,0.0082,,Phanerozoic,Cenozoic,Quaternary,Holocene,Northgrippian,5
Holocene,"Holocene,Meghalayan,Northgrippian,Greenlandian",series_epoch,0,0.0117,,Phanerozoic,Cenozoic,Quaternary,Holocene,,4
Calabrian,Calabrian,stage_age,0.774,1.8,,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Calabrian,5
